step,loss,pde,div,near_pde,near_div,bc_vel,wall,gauge,far_cp,outflow_cp,kutta,data,CL_pressure,CD_pressure,CM_ref,cp_mae_vs_xfoil,time_sec
1,18.988004684448242,0.04231767728924751,0.001140197622589767,0.17227961122989655,1.4355804523802362e-05,1.5519556999206543,0.018285056576132774,0.605769693851471,0.4225481152534485,0.43306976556777954,0.08866128325462341,0.0,0.017535486313769846,-0.0381398665760971,-0.00046888892258208775,,0.05172157287597656
500,0.04950414225459099,0.002974146045744419,0.0044107562862336636,2.436684735585004e-05,0.00040666296263225377,0.0010309304343536496,0.00010591503814794123,1.2540961506601889e-05,0.0008874266059137881,0.000572920311242342,0.00024084319011308253,0.0,-0.0002952380003311991,-0.0007812171299741967,6.851214909060765e-05,,27.4711434841156
1000,0.01997043564915657,0.002163474913686514,0.0014938705135136843,7.3566102400945965e-06,0.00010512904555071145,0.0004134660121053457,7.549909059889615e-05,3.047851805604296e-06,0.00039928487967699766,0.0003169614356011152,0.00012439972488209605,0.0,-0.00018398335321836122,-0.0007502048648728269,2.2776050696673815e-05,,54.85768961906433
1500,0.014771370217204094,0.002487549092620611,0.0008413241012021899,1.1826663467218168e-05,2.8638722142204642e-05,0.00039173662662506104,6.600839697057381e-05,2.131354449375067e-06,0.00016081264766398817,0.00012731629249174148,8.312046702485532e-05,0.0,-0.00012479814841388583,-0.0008237882420487727,1.4179691755711972e-05,,82.0391857624054
2000,0.01316628884524107,0.0028705396689474583,0.0006960656028240919,1.505935870227404e-05,1.7126414604717866e-05,0.00022780615836381912,7.84874937380664e-05,7.616662855980394e-07,0.0002809605502989143,8.507422899128869e-05,5.9550857258727774e-05,0.0,-0.00037842569398948225,-0.0010863807086219192,5.646694706566528e-05,,109.45515131950378
2500,0.009628401137888432,0.0026444359682500362,0.000518153770826757,2.6499996238271706e-05,1.921457851494779e-06,0.00014835878391750157,5.05208590766415e-05,7.156051395895702e-08,0.000476744316983968,0.0002609980874694884,4.003242065664381e-05,0.0,-0.00045875142157187314,-0.0012800322247079935,6.463956718382943e-05,,136.72422647476196
3000,0.013232533819973469,0.0026230786461383104,0.0005236335564404726,2.2398757209884934e-05,0.00017432746244594455,0.00017497508088126779,4.9397731345379725e-05,2.722539193200646e-06,0.000541429384611547,0.00019991896988358349,2.9195005481597036e-05,0.0,0.0005900720291384365,-0.0013052405344771336,-2.1009465035944433e-05,,164.13668370246887
3500,0.007746431976556778,0.0024066497571766376,0.0003823504375759512,1.5404086298076436e-05,3.7875254292885074e-06,0.00010304317402187735,4.175885987933725e-05,1.8056937278743135e-07,0.00044266541954129934,0.0002574784157332033,3.9841488614911214e-05,0.0,0.00024291971529708407,-0.001360344002338745,1.5148690098214235e-05,,189.72004747390747
4000,0.00779415899887681,0.002719396725296974,0.0004088013665750623,1.53851906361524e-05,1.8951608353745542e-06,0.00010225935693597421,3.5211189242545515e-05,7.016934659986873e-07,0.0003560613840818405,0.0001890280982479453,2.7572623366722837e-05,0.0,0.00028854316512397487,-0.0013474431547311537,1.390580736743835e-05,,217.4054777622223
4500,0.007434794679284096,0.002324257977306843,0.0003208701382391155,1.9165348930982873e-05,1.9130216969642788e-05,8.166846237145364e-05,4.1458137275185436e-05,9.730759984449833e-07,0.0004219697730150074,0.0002827414427883923,2.0681378373410553e-05,0.0,0.00018722379788379054,-0.001530132218096388,3.005857343848714e-05,,245.8303189277649
5000,0.008243411779403687,0.002338216407224536,0.00029594075749628246,1.7419875803170726e-05,7.534443284384906e-05,0.00010957138147205114,3.207423287676647e-05,7.98900202880759e-07,0.00039647906669415534,0.00026296841679140925,2.2090074708103202e-05,0.0,0.00020967135409682015,-0.0014978639940313857,3.0972591656207304e-05,,273.3460702896118
